ticket_id,title,description,resolution,category,subcategory,priority,status,assignee,assignee_team,created_at,resolved_at,resolution_time_hrs,tags
T-054,Corporate network unreachable via VPN,All attempts to reach corporate network via VPN result in timeout.,"Uninstalled AnyConnect, cleared all registry entries, fresh install from IT portal.",IT,VPN,P2,Closed,ankit.verma,Network Engineering,2025-03-03,2025-03-03,7.3,"vpn,anyconnect,windows,network"
T-202,Cannot install software on new MacBook,Getting permission denied when trying to install tools via Homebrew. New M2 MacBook.,Enrolled device in MDM via Jamf. Granted temporary admin rights. Homebrew installed successfully.,IT,Laptop Setup,P2,Closed,raj.mehta,IT Support,2025-03-21,2025-03-21,9.5,"laptop,setup,macos,dev-environment"
T-051,AnyConnect profile missing,AnyConnect saying 'No valid certificate' - profile seems to have been wiped.,Re-deployed AnyConnect profile from SCCM. Certificate re-enrolled. Connected.,IT,VPN,P3,Closed,priya.sharma,Network Engineering,2025-03-18,2025-03-18,3.6,"vpn,anyconnect,windows,network"
T-209,Laptop missing IT admin rights,Cannot install certain apps. Getting 'You do not have admin privileges' error.,Raised admin rights request to IT manager. Approved and applied via Jamf. Software installation working.,IT,Laptop Setup,P3,Closed,raj.mehta,IT Support,2025-03-18,2025-03-18,2.2,"laptop,setup,macos,dev-environment"
T-052,VPN timeout on connection attempt,VPN spins for 60 seconds then times out with connection error.,"Flushed DNS, reset TCP/IP stack, reinstalled VPN client. Timeout issue gone.",IT,VPN,P2,Closed,raj.mehta,Network Engineering,2025-03-18,2025-03-18,4.5,"vpn,anyconnect,windows,network"
T-111,GitHub 2FA blocking access,Two-factor authentication via Okta blocking GitHub login. Getting SAML error.,Synced Okta group with GitHub SAML app. 2FA via Okta now working. Access granted.,Access,GitHub,P3,Closed,deepa.krishnan,IT Support,2025-03-10,2025-03-10,5.0,"github,access,permissions,sso"
T-109,GitHub permission level incorrect,I have read access but I need write access to the infrastructure-terraform repo.,Updated team membership to give Maintain access on infrastructure-terraform. Push working.,Access,GitHub,P3,Resolved,suresh.nair,IT Support,2025-03-17,2025-03-17,2.8,"github,access,permissions,sso"
T-106,GitHub SSO not working,SSO keeps redirecting and failing. Can't authenticate to GitHub via company SSO.,Cleared SSO session in Okta. Re-triggered SAML auth flow. GitHub SSO working.,Access,GitHub,P2,Closed,suresh.nair,IT Support,2025-03-07,2025-03-07,2.1,"github,access,permissions,sso"
T-201,New laptop setup assistance needed,Received new MacBook Pro. Need help setting up dev environment. Not sure what to install.,"Ran IT onboarding script from internal portal. Installed: Homebrew, pyenv, node, docker, VS Code. Dev environment ready.",IT,Laptop Setup,P3,Closed,meera.iyer,IT Support,2025-02-15,2025-02-15,8.8,"laptop,setup,macos,dev-environment"
T-206,Docker not running on new laptop,Docker Desktop won't start. Error: 'Cannot connect to Docker daemon'. New laptop.,Docker Desktop requires 'Allow the default Docker socket to be used' in settings. Enabled. Docker running.,IT,Laptop Setup,P2,Closed,meera.iyer,IT Support,2025-03-06,2025-03-06,10.4,"laptop,setup,macos,dev-environment"
T-047,Remote access VPN broken,Cannot access internal resources. VPN icon shows connected but no traffic routing.,"Routing table corrupted. Reset with 'route /f', reconnected VPN. All traffic routing correctly.",IT,VPN,P2,Closed,raj.mehta,Network Engineering,2025-03-23,2025-03-23,5.1,"vpn,anyconnect,windows,network"
T-304,Reimbursement not processed,Submitted expense claim 3 weeks ago but amount not reimbursed yet.,Reimbursement was pending manager approval. Escalated to manager. Approved and processed.,HR,Payroll,P3,Resolved,ravi.kumar,HR Operations,2025-03-22,2025-03-22,23.9,"payroll,salary,hr,reimbursement"
T-044,VPN drops connection intermittently,VPN connects but drops after 5-10 minutes. Very disruptive during calls.,"Updated AnyConnect to latest version, reconfigured split tunnel settings. Stable now.",IT,VPN,P2,Closed,raj.mehta,Network Engineering,2025-03-07,2025-03-07,4.2,"vpn,anyconnect,windows,network"
T-103,GitHub 403 forbidden on repo access,GitHub returns 403 Forbidden when accessing the mobile-app repo. SSO enabled on org.,SSO session expired. User re-authenticated via Okta. Added to correct GitHub team. Access granted.,Access,GitHub,P3,Closed,deepa.krishnan,IT Support,2025-03-25,2025-03-25,1.9,"github,access,permissions,sso"
T-108,New joiner needs GitHub access,New joiner onboarding - need GitHub org access as part of day 1 setup.,Added to GitHub org as part of onboarding checklist. Assigned to team based on role.,Access,GitHub,P2,Resolved,suresh.nair,IT Support,2025-03-09,2025-03-09,2.2,"github,access,permissions,sso"
